timestamp,agent_id,x,y,z,yaw_deg
1777974155.3906,1,2.8725,0.3846,0.4124,-33.12
1777974155.3906,2,1.1394,0.5353,0.3701,13.36
1777974155.3906,3,1.7354,0.4669,0.4370,13.05
1777974155.3906,4,2.3206,0.4110,0.4285,-1.23
1777974155.3906,7,0.7807,1.4227,0.0501,-37.00
1777974155.4901,1,2.8725,0.3846,0.4124,-33.12
1777974155.4901,2,1.1394,0.5353,0.3701,13.36
1777974155.4901,3,1.7354,0.4669,0.4370,13.05
1777974155.4901,4,2.3206,0.4110,0.4285,-1.23
1777974155.4901,7,0.7807,1.4227,0.0501,-37.00
1777974155.5903,1,2.8725,0.3846,0.4124,-33.12
1777974155.5903,2,1.1323,0.5410,0.3608,12.73
1777974155.5903,3,1.7354,0.4669,0.4370,13.05
1777974155.5903,4,2.3206,0.4110,0.4285,-1.23
1777974155.5903,7,0.7807,1.4227,0.0501,-37.00
1777974155.6912,1,2.8725,0.3846,0.4124,-33.12
1777974155.6912,2,1.1387,0.5351,0.3699,12.75
1777974155.6912,3,1.7973,0.3983,0.4572,2.99
1777974155.6912,4,2.3206,0.4110,0.4285,-1.23
1777974155.6912,7,1.0053,1.4728,0.2585,-46.32
1777974155.7901,1,2.8746,0.3839,0.4122,-31.09
1777974155.7901,2,1.1387,0.5351,0.3699,12.75
1777974155.7901,3,1.7973,0.3983,0.4572,2.99
1777974155.7901,4,2.3206,0.4110,0.4285,-1.23
1777974155.7901,7,1.0003,1.4727,0.2627,-44.03
1777974155.8901,1,2.8746,0.3839,0.4122,-31.09
1777974155.8901,2,1.1387,0.5351,0.3699,12.75
1777974155.8901,3,1.7398,0.4634,0.4359,12.33
1777974155.8901,4,2.3206,0.4110,0.4285,-1.23
1777974155.8901,7,1.0003,1.4727,0.2627,-44.03
1777974155.9900,1,2.8725,0.3846,0.4124,-33.12
1777974155.9900,2,1.1347,0.5367,0.3717,11.77
1777974155.9900,3,1.7398,0.4634,0.4359,12.33
1777974155.9900,4,2.3206,0.4110,0.4285,-1.23
1777974155.9900,7,1.0003,1.4727,0.2627,-44.03
1777974156.0902,1,2.8746,0.3839,0.4122,-31.09
1777974156.0902,2,1.1387,0.5351,0.3699,12.75
1777974156.0902,3,1.7398,0.4634,0.4359,12.33
1777974156.0902,4,2.3206,0.4110,0.4285,-1.23
1777974156.0902,7,1.0003,1.4727,0.2627,-44.03
1777974156.1900,1,2.8725,0.3846,0.4124,-33.12
1777974156.1900,2,1.1330,0.5413,0.3609,13.36
1777974156.1900,3,1.7398,0.4634,0.4359,12.33
1777974156.1900,4,2.3206,0.4110,0.4285,-1.23
1777974156.1900,7,1.0003,1.4727,0.2627,-44.03
1777974156.2902,1,2.8725,0.3846,0.4124,-33.12
1777974156.2902,2,1.1388,0.5346,0.3703,12.77
1777974156.2902,3,1.7398,0.4634,0.4359,12.33
1777974156.2902,4,2.3206,0.4110,0.4285,-1.23
1777974156.2902,7,1.0003,1.4727,0.2627,-44.03
1777974156.3900,1,2.8746,0.3839,0.4122,-31.09
1777974156.3900,2,1.1387,0.5351,0.3699,12.75
1777974156.3900,3,1.7973,0.3983,0.4572,2.99
1777974156.3900,4,2.3206,0.4110,0.4285,-1.23
1777974156.3900,7,1.0003,1.4727,0.2627,-44.03
1777974156.4903,1,2.8746,0.3839,0.4122,-31.09
1777974156.4903,2,1.1394,0.5353,0.3701,13.36
1777974156.4903,3,1.7979,0.3842,0.4677,19.93
1777974156.4903,4,2.3206,0.4110,0.4285,-1.23
1777974156.4903,7,1.0003,1.4727,0.2627,-44.03
1777974156.5900,1,2.8725,0.3846,0.4124,-33.12
1777974156.5900,2,1.1394,0.5353,0.3701,13.36
1777974156.5900,3,1.7979,0.3842,0.4677,19.93
