timestamp,agent_id,x,y,z,yaw_deg
1777974222.1301,2,1.7923,0.0848,0.4101,-0.82
1777974222.1301,3,1.8277,0.6521,0.4535,-6.03
1777974222.1301,4,1.8042,1.2758,0.5995,-0.90
1777974222.2300,2,1.7923,0.0848,0.4101,-0.82
1777974222.2300,3,1.8294,0.6519,0.4533,-5.55
1777974222.2300,4,1.8042,1.2758,0.5995,-0.90
1777974222.3320,2,1.7923,0.0848,0.4101,-0.82
1777974222.3320,3,1.8206,0.6557,0.4550,-5.90
1777974222.3320,4,1.8042,1.2758,0.5995,-0.90
1777974222.4298,2,1.7935,0.0837,0.4198,-1.20
1777974222.4298,3,1.8201,0.6638,0.4458,-5.37
1777974222.4298,4,1.8068,1.2810,0.5981,-1.05
1777974222.5300,2,1.7929,0.0843,0.4062,-1.42
1777974222.5300,3,1.8277,0.6521,0.4535,-6.03
1777974222.5300,4,1.8042,1.2758,0.5995,-0.90
1777974222.6300,2,1.7923,0.0848,0.4101,-0.82
1777974222.6300,3,1.8206,0.6557,0.4550,-5.90
1777974222.6300,4,1.8042,1.2758,0.5995,-0.90
1777974222.7299,2,1.7923,0.0848,0.4101,-0.82
1777974222.7299,3,1.8201,0.6638,0.4458,-5.37
1777974222.7299,4,1.8068,1.2810,0.5981,-1.05
1777974222.8300,2,1.7935,0.0837,0.4198,-1.20
1777974222.8300,3,1.8274,0.6603,0.4442,-5.51
1777974222.8300,4,1.8068,1.2810,0.5981,-1.05
1777974222.9299,2,1.7929,0.0843,0.4062,-1.42
1777974222.9299,3,1.8206,0.6557,0.4550,-5.90
1777974222.9299,4,1.8042,1.2758,0.5995,-0.90
1777974223.0299,2,1.7935,0.0837,0.4198,-1.20
1777974223.0299,3,1.8201,0.6638,0.4458,-5.37
1777974223.0299,4,1.8042,1.2758,0.5995,-0.90
1777974223.1302,2,1.7923,0.0848,0.4101,-0.82
1777974223.1302,3,1.8206,0.6557,0.4550,-5.90
1777974223.1302,4,1.8042,1.2758,0.5995,-0.90
1777974223.2301,2,1.7923,0.0848,0.4101,-0.82
1777974223.2301,3,1.8206,0.6557,0.4550,-5.90
1777974223.2301,4,1.8042,1.2758,0.5995,-0.90
1777974223.3300,2,1.7923,0.0848,0.4101,-0.82
1777974223.3300,3,1.8202,0.6562,0.4514,-7.35
1777974223.3300,4,1.8042,1.2758,0.5995,-0.90
1777974223.4313,2,1.7935,0.0837,0.4198,-1.20
1777974223.4313,3,1.8270,0.6608,0.4405,-7.03
1777974223.4313,4,1.8042,1.2758,0.5995,-0.90
1777974223.5299,2,1.7935,0.0837,0.4198,-1.20
1777974223.5299,3,1.8206,0.6557,0.4550,-5.90
1777974223.5299,4,1.8042,1.2758,0.5995,-0.90
1777974223.6299,2,1.7929,0.0843,0.4062,-1.42
1777974223.6299,3,1.8206,0.6557,0.4550,-5.90
1777974223.6299,4,1.8042,1.2758,0.5995,-0.90
1777974223.7299,2,1.7935,0.0837,0.4198,-1.20
1777974223.7299,3,1.8206,0.6557,0.4550,-5.90
1777974223.7299,4,1.8042,1.2758,0.5995,-0.90
1777974223.8299,2,1.7935,0.0837,0.4198,-1.20
1777974223.8299,3,1.8201,0.6638,0.4458,-5.37
1777974223.8299,4,1.8042,1.2758,0.5995,-0.90
1777974223.9299,2,1.7923,0.0848,0.4101,-0.82
1777974223.9299,3,1.8214,0.6560,0.4537,2.11
1777974223.9299,4,1.8042,1.2758,0.5995,-0.90
1777974224.0309,2,1.7923,0.0848,0.4101,-0.82
1777974224.0309,3,1.8206,0.6557,0.4550,-5.90
1777974224.0309,4,1.8042,1.2758,0.5995,-0.90
1777974224.1299,2,1.7923,0.0848,0.4101,-0.82
1777974224.1299,3,1.8277,0.6521,0.4535,-6.03
1777974224.1299,4,1.8042,1.2758,0.5995,-0.90
1777974224.2300,2,1.7923,0.0848,0.4101,-0.82
1777974224.2300,3,1.8206,0.6557,0.4550,-5.90
1777974224.2300,4,1.8068,1.2810,0.5981,-1.05
1777974224.3299,2,1.7923,0.0848,0.4101,-0.82
1777974224.3299,3,1.8206,0.6557,0.4550,-5.90
1777974224.3299,4,1.8042,1.2758,0.5995,-0.90
1777974224.4299,2,1.7935,0.0837,0.4198,-1.20
1777974224.4299,3,1.8206,0.6557,0.4550,-5.90
1777974224.4299,4,1.8042,1.2758,0.5995,-0.90
1777974224.5299,2,1.7935,0.0837,0.4198,-1.20
1777974224.5299,3,1.8206,0.6557,0.4550,-5.90
1777974224.5299,4,1.8042,1.2758,0.5995,-0.90
1777974224.6299,2,1.7935,0.0837,0.4198,-1.20
1777974224.6299,3,1.8202,0.6562,0.4514,-7.35
1777974224.6299,4,1.8042,1.2758,0.5995,-0.90
1777974224.7299,2,1.7923,0.0848,0.4101,-0.82
1777974224.7299,3,1.8206,0.6557,0.4550,-5.90
1777974224.7299,4,1.8042,1.2758,0.5995,-0.90
1777974224.8300,2,1.7935,0.0837,0.4198,-1.20
1777974224.8300,3,1.8201,0.6638,0.4458,-5.37
1777974224.8300,4,1.8049,1.2557,0.6098,-1.92
1777974224.9299,2,1.7935,0.0837,0.4198,-1.20
1777974224.9299,3,1.8277,0.6521,0.4535,-6.03
1777974224.9299,4,1.8042,1.2758,0.5995,-0.90
1777974225.0299,2,1.7923,0.0848,0.4101,-0.82
1777974225.0299,3,1.8206,0.6557,0.4550,-5.90
1777974225.0299,4,1.8042,1.2758,0.5995,-0.90
1777974225.1299,2,1.7923,0.0848,0.4101,-0.82
1777974225.1299,3,1.8206,0.6557,0.4550,-5.90
1777974225.1299,4,1.8042,1.2758,0.5995,-0.90
1777974225.2299,2,1.7929,0.0843,0.4062,-1.42
1777974225.2299,3,1.8277,0.6521,0.4535,-6.03
1777974225.2299,4,1.8042,1.2758,0.5995,-0.90
1777974225.3299,2,1.7935,0.0837,0.4198,-1.20
1777974225.3299,3,1.8201,0.6554,0.4548,-5.35
1777974225.3299,4,1.8042,1.2758,0.5995,-0.90
1777974225.4299,2,1.7923,0.0848,0.4101,-0.82
1777974225.4299,3,1.8206,0.6557,0.4550,-5.90
1777974225.4299,4,1.8042,1.2758,0.5995,-0.90
1777974225.5299,2,1.7923,0.0848,0.4101,-0.82
1777974225.5299,3,1.8206,0.6557,0.4550,-5.90
1777974225.5299,4,1.8042,1.2758,0.5995,-0.90
1777974225.6309,2,1.7935,0.0837,0.4198,-1.20
1777974225.6309,3,1.8294,0.6519,0.4533,-5.55
1777974225.6309,4,1.8042,1.2758,0.5995,-0.90
1777974225.7299,2,1.7935,0.0837,0.4198,-1.20
1777974225.7299,3,1.8206,0.6557,0.4550,-5.90
1777974225.7299,4,1.8042,1.2758,0.5995,-0.90
1777974225.8306,2,1.7935,0.0837,0.4198,-1.20
1777974225.8306,3,1.8201,0.6638,0.4458,-5.37
1777974225.8306,4,1.8042,1.2758,0.5995,-0.90
1777974225.9299,2,1.7923,0.0848,0.4101,-0.82
1777974225.9299,3,1.8206,0.6557,0.4550,-5.90
1777974225.9299,4,1.8042,1.2758,0.5995,-0.90
1777974226.0300,2,1.7937,0.0846,0.4073,-1.86
1777974226.0300,3,1.8277,0.6521,0.4535,-6.03
1777974226.0300,4,1.8042,1.2758,0.5995,-0.90
1777974226.1299,2,1.7906,0.1511,0.4270,4.85
1777974226.1299,3,1.8206,0.6557,0.4550,-5.90
1777974226.1299,4,1.8042,1.2758,0.5995,-0.90
1777974226.2300,2,1.8267,0.1472,0.4215,5.57
1777974226.2300,3,1.8277,0.6521,0.4535,-6.03
1777974226.2300,4,1.8042,1.2758,0.5995,-0.90
1777974226.3299,2,1.8543,0.1449,0.4323,5.72
1777974226.3299,3,1.8277,0.6521,0.4535,-6.03
1777974226.3299,4,1.8042,1.2758,0.5995,-0.90
1777974226.4301,2,1.8610,0.1423,0.4392,5.23
1777974226.4301,3,1.8274,0.6603,0.4442,-5.51
1777974226.4301,4,1.8042,1.2758,0.5995,-0.90
1777974226.5299,2,1.8736,0.1413,0.4406,5.29
1777974226.5299,3,1.8277,0.6521,0.4535,-6.03
1777974226.5299,4,1.8042,1.2758,0.5995,-0.90
1777974226.6300,2,1.9265,0.0696,0.4376,2.30
1777974226.6300,3,1.8418,0.6467,0.4457,-7.01
1777974226.6300,4,1.8042,1.2758,0.5995,-0.90
1777974226.7299,2,1.9419,0.0698,0.4267,2.65
1777974226.7299,3,1.8370,0.6624,0.4658,-4.55
1777974226.7299,4,1.8042,1.2758,0.5995,-0.90
1777974226.8302,2,1.9486,0.0690,0.4271,2.58
1777974226.8302,3,1.8370,0.6624,0.4658,-4.55
1777974226.8302,4,1.8042,1.2758,0.5995,-0.90
1777974226.9299,2,1.9591,0.0700,0.4269,2.51
1777974226.9299,3,1.8370,0.6624,0.4658,-4.55
