timestamp,agent_id,x,y,z,yaw_deg
1777973842.2691,1,1.8980,0.0152,0.4232,1.11
1777973842.2691,2,2.2900,1.8435,0.6855,-30.70
1777973842.2691,3,0.6033,1.5858,0.2366,-4.72
1777973842.2691,4,2.3496,0.8817,0.5353,-28.07
1777973842.2691,7,0.5658,0.1526,0.2151,2.99
1777973842.3643,1,1.8980,0.0152,0.4232,1.11
1777973842.3643,2,2.2900,1.8435,0.6855,-30.70
1777973842.3643,3,0.5800,1.5794,0.2280,-3.89
1777973842.3643,4,2.3496,0.8817,0.5353,-28.07
1777973842.3643,7,0.5658,0.1526,0.2151,2.99
1777973842.4643,1,1.8980,0.0152,0.4232,1.11
1777973842.4643,2,2.2771,1.8021,0.6968,-31.29
1777973842.4643,3,0.5800,1.5794,0.2280,-3.89
1777973842.4643,4,2.3496,0.8817,0.5353,-28.07
1777973842.4643,7,0.5658,0.1526,0.2151,2.99
1777973842.5642,1,1.8980,0.0152,0.4232,1.11
1777973842.5642,2,2.2833,1.8243,0.6905,-29.46
1777973842.5642,3,0.5800,1.5794,0.2280,-3.89
1777973842.5642,4,2.3496,0.8817,0.5353,-28.07
1777973842.5642,7,0.5633,0.1532,0.2147,2.89
1777973842.6659,1,1.8980,0.0152,0.4232,1.11
1777973842.6659,2,2.2833,1.8243,0.6905,-29.46
1777973842.6659,3,0.6094,1.5735,0.2402,-5.07
1777973842.6659,4,2.3496,0.8817,0.5353,-28.07
1777973842.6659,7,0.5658,0.1526,0.2151,2.99
1777973842.7642,1,1.8980,0.0152,0.4232,1.11
1777973842.7642,2,2.2900,1.8435,0.6855,-30.70
1777973842.7642,3,0.6033,1.5858,0.2366,-4.72
1777973842.7642,4,2.3496,0.8817,0.5353,-28.07
1777973842.7642,7,0.5658,0.1526,0.2151,2.99
1777973842.8642,1,1.8980,0.0152,0.4232,1.11
1777973842.8642,2,2.2900,1.8435,0.6855,-30.70
1777973842.8642,3,0.5681,1.5940,0.2190,-3.67
1777973842.8642,4,2.3496,0.8817,0.5353,-28.07
1777973842.8642,7,0.5658,0.1526,0.2151,2.99
1777973842.9642,1,1.8980,0.0152,0.4232,1.11
1777973842.9642,2,2.2900,1.8435,0.6855,-30.70
1777973842.9642,3,0.5800,1.5794,0.2280,-3.89
1777973842.9642,4,2.3496,0.8817,0.5353,-28.07
1777973842.9642,7,0.6246,0.1482,0.2633,3.33
1777973843.0643,1,1.8980,0.0152,0.4232,1.11
1777973843.0643,2,2.2900,1.8435,0.6855,-30.70
1777973843.0643,3,0.5681,1.5940,0.2190,-3.67
1777973843.0643,4,2.3496,0.8817,0.5353,-28.07
1777973843.0643,7,0.6246,0.1482,0.2633,3.33
1777973843.1643,1,1.8980,0.0152,0.4232,1.11
1777973843.1643,2,2.2900,1.8435,0.6855,-30.70
1777973843.1643,3,0.5681,1.5940,0.2190,-3.67
1777973843.1643,4,2.3496,0.8817,0.5353,-28.07
1777973843.1643,7,0.6246,0.1482,0.2633,3.33
1777973843.2642,1,1.8980,0.0152,0.4232,1.11
1777973843.2642,2,2.2900,1.8435,0.6855,-30.70
1777973843.2642,3,0.5681,1.5940,0.2190,-3.67
1777973843.2642,4,2.3496,0.8817,0.5353,-28.07
1777973843.2642,7,0.6246,0.1482,0.2633,3.33
1777973843.3642,1,1.8980,0.0152,0.4232,1.11
1777973843.3642,2,2.2900,1.8435,0.6855,-30.70
1777973843.3642,3,0.5681,1.5940,0.2190,-3.67
1777973843.3642,4,2.3496,0.8817,0.5353,-28.07
1777973843.3642,7,0.6246,0.1482,0.2633,3.33
1777973843.4642,1,1.8980,0.0152,0.4232,1.11
1777973843.4642,2,2.2900,1.8435,0.6855,-30.70
1777973843.4642,3,0.5681,1.5940,0.2190,-3.67
1777973843.4642,4,2.3496,0.8817,0.5353,-28.07
1777973843.4642,7,0.6246,0.1482,0.2633,3.33
1777973843.5656,1,1.8980,0.0152,0.4232,1.11
1777973843.5656,2,2.2900,1.8435,0.6855,-30.70
1777973843.5656,3,0.5681,1.5940,0.2190,-3.67
1777973843.5656,4,2.3496,0.8817,0.5353,-28.07
1777973843.5656,7,0.6246,0.1482,0.2633,3.33
1777973843.6642,1,1.8980,0.0152,0.4232,1.11
1777973843.6642,2,2.2900,1.8435,0.6855,-30.70
1777973843.6642,3,0.5794,1.5801,0.2280,-3.86
1777973843.6642,4,2.3496,0.8817,0.5353,-28.07
1777973843.6642,7,0.5658,0.1526,0.2151,2.99
1777973843.7666,1,1.8980,0.0152,0.4232,1.11
1777973843.7666,2,2.2900,1.8435,0.6855,-30.70
1777973843.7666,3,0.5774,1.5785,0.2305,-3.32
1777973843.7666,4,2.3496,0.8817,0.5353,-28.07
1777973843.7666,7,0.5658,0.1526,0.2151,2.99
1777973843.8642,1,1.8980,0.0152,0.4232,1.11
1777973843.8642,2,2.2771,1.8021,0.6968,-31.29
1777973843.8642,3,0.5794,1.5801,0.2280,-3.86
1777973843.8642,4,2.3496,0.8817,0.5353,-28.07
1777973843.8642,7,0.5658,0.1526,0.2151,2.99
1777973843.9643,1,1.8980,0.0152,0.4232,1.11
1777973843.9643,2,2.2771,1.8021,0.6968,-31.29
1777973843.9643,3,0.5681,1.5940,0.2190,-3.67
1777973843.9643,4,2.3496,0.8817,0.5353,-28.07
1777973843.9643,7,0.5658,0.1526,0.2151,2.99
1777973844.0643,1,1.8980,0.0152,0.4232,1.11
1777973844.0643,2,2.2771,1.8021,0.6968,-31.29
1777973844.0643,3,0.5681,1.5940,0.2190,-3.67
1777973844.0643,4,2.3496,0.8817,0.5353,-28.07
1777973844.0643,7,0.5658,0.1526,0.2151,2.99
1777973844.1643,1,1.8980,0.0152,0.4232,1.11
1777973844.1643,2,2.2771,1.8021,0.6968,-31.29
1777973844.1643,3,0.5800,1.5794,0.2280,-3.89
1777973844.1643,4,2.3496,0.8817,0.5353,-28.07
1777973844.1643,7,0.5658,0.1526,0.2151,2.99
1777973844.2651,1,1.8980,0.0152,0.4232,1.11
1777973844.2651,2,2.2900,1.8435,0.6855,-30.70
1777973844.2651,3,0.5780,1.5813,0.2265,25.80
1777973844.2651,4,2.3496,0.8817,0.5353,-28.07
1777973844.2651,7,0.5658,0.1526,0.2151,2.99
1777973844.3650,1,1.8980,0.0152,0.4232,1.11
1777973844.3650,2,2.2900,1.8435,0.6855,-30.70
1777973844.3650,3,0.5800,1.5794,0.2280,-3.89
1777973844.3650,4,2.3496,0.8817,0.5353,-28.07
1777973844.3650,7,0.5658,0.1526,0.2151,2.99
1777973844.4649,1,1.8980,0.0152,0.4232,1.11
1777973844.4649,2,2.2900,1.8435,0.6855,-30.70
1777973844.4649,3,0.5681,1.5940,0.2190,-3.67
1777973844.4649,4,2.3496,0.8817,0.5353,-28.07
1777973844.4649,7,0.5658,0.1526,0.2151,2.99
1777973844.5647,1,1.8980,0.0152,0.4232,1.11
1777973844.5647,2,2.2900,1.8435,0.6855,-30.70
1777973844.5647,3,0.5996,1.5833,0.2433,-3.80
1777973844.5647,4,2.3517,0.8854,0.5343,-25.46
1777973844.5647,7,0.5658,0.1526,0.2151,2.99
1777973844.6647,1,1.8980,0.0152,0.4232,1.11
1777973844.6647,2,2.2841,1.8180,0.6949,1.49
