timestamp,agent_id,x,y,z,yaw_deg
1777973729.6179,1,1.8980,0.0152,0.4232,1.11
1777973729.6179,2,2.2771,1.8021,0.6968,-31.29
1777973729.6179,3,0.7960,1.8648,0.2135,-2.94
1777973729.6179,4,2.3496,0.8817,0.5353,-28.07
1777973729.6179,7,0.5658,0.1526,0.2151,2.99
1777973729.7187,1,1.8980,0.0152,0.4232,1.11
1777973729.7187,2,2.2771,1.8021,0.6968,-31.29
1777973729.7187,3,0.7960,1.8648,0.2135,-2.94
1777973729.7187,4,2.3496,0.8817,0.5353,-28.07
1777973729.7187,7,0.5658,0.1526,0.2151,2.99
1777973729.8190,1,1.8980,0.0152,0.4232,1.11
1777973729.8190,2,2.2771,1.8021,0.6968,-31.29
1777973729.8190,3,0.7960,1.8648,0.2135,-2.94
1777973729.8190,4,2.3496,0.8817,0.5353,-28.07
1777973729.8190,7,0.5658,0.1526,0.2151,2.99
1777973729.9178,1,1.8980,0.0152,0.4232,1.11
1777973729.9178,2,2.2771,1.8021,0.6968,-31.29
1777973729.9178,3,0.7960,1.8648,0.2135,-2.94
1777973729.9178,4,2.3496,0.8817,0.5353,-28.07
1777973729.9178,7,0.5658,0.1526,0.2151,2.99
1777973730.0178,1,1.8980,0.0152,0.4232,1.11
1777973730.0178,2,2.2771,1.8021,0.6968,-31.29
1777973730.0178,3,0.7960,1.8648,0.2135,-2.94
1777973730.0178,4,2.3496,0.8817,0.5353,-28.07
1777973730.0178,7,0.5658,0.1526,0.2151,2.99
1777973730.1178,1,1.8980,0.0152,0.4232,1.11
1777973730.1178,2,2.2900,1.8435,0.6855,-30.70
1777973730.1178,3,0.7960,1.8648,0.2135,-2.94
1777973730.1178,4,2.3496,0.8817,0.5353,-28.07
1777973730.1178,7,0.5658,0.1526,0.2151,2.99
1777973730.2179,1,1.8980,0.0152,0.4232,1.11
1777973730.2179,2,2.2771,1.8021,0.6968,-31.29
1777973730.2179,3,0.7960,1.8648,0.2135,-2.94
1777973730.2179,4,2.3496,0.8817,0.5353,-28.07
1777973730.2179,7,0.5658,0.1526,0.2151,2.99
1777973730.3179,1,1.8980,0.0152,0.4232,1.11
1777973730.3179,2,2.2771,1.8021,0.6968,-31.29
1777973730.3179,3,0.7960,1.8648,0.2135,-2.94
1777973730.3179,4,2.3496,0.8817,0.5353,-28.07
