timestamp,agent_id,x,y,z,yaw_deg
1777973872.9478,1,1.8938,0.0385,0.4351,2.49
1777973872.9478,2,2.3153,1.8495,0.7130,2.94
1777973873.0485,1,1.8938,0.0385,0.4351,2.49
1777973873.0485,2,2.3153,1.8495,0.7130,2.94
1777973873.1479,1,1.8938,0.0385,0.4351,2.49
1777973873.1479,2,2.3153,1.8495,0.7130,2.94
1777973873.2477,1,1.8938,0.0385,0.4351,2.49
1777973873.2477,2,2.3153,1.8495,0.7130,2.94
1777973873.2477,3,0.2248,1.3404,0.0158,-2.15
1777973873.2477,4,2.3624,0.9381,0.5541,1.57
1777973873.2477,7,0.5332,0.0309,0.1870,0.78
1777973873.3482,1,1.8938,0.0385,0.4351,2.49
1777973873.3482,2,2.3153,1.8495,0.7130,2.94
1777973873.3482,3,0.2248,1.3404,0.0158,-2.15
1777973873.3482,4,2.3624,0.9381,0.5541,1.57
1777973873.3482,7,0.5332,0.0309,0.1870,0.78
1777973873.4479,1,1.8938,0.0385,0.4351,2.49
1777973873.4479,2,2.3153,1.8495,0.7130,2.94
1777973873.4479,3,0.2248,1.3404,0.0158,-2.15
1777973873.4479,4,2.3624,0.9381,0.5541,1.57
1777973873.4479,7,0.5332,0.0309,0.1870,0.78
1777973873.5477,1,1.8938,0.0385,0.4351,2.49
1777973873.5477,2,2.3153,1.8495,0.7130,2.94
1777973873.5477,3,0.2248,1.3404,0.0158,-2.15
1777973873.5477,4,2.3624,0.9381,0.5541,1.57
1777973873.5477,7,0.5332,0.0309,0.1870,0.78
1777973873.6477,1,1.8938,0.0385,0.4351,2.49
1777973873.6477,2,2.3153,1.8495,0.7130,2.94
1777973873.6477,3,0.2248,1.3404,0.0158,-2.15
1777973873.6477,4,2.3624,0.9381,0.5541,1.57
1777973873.6477,7,0.5332,0.0309,0.1870,0.78
1777973873.7477,1,1.8938,0.0385,0.4351,2.49
1777973873.7477,2,2.3153,1.8495,0.7130,2.94
1777973873.7477,3,0.2248,1.3404,0.0158,-2.15
1777973873.7477,4,2.3624,0.9381,0.5541,1.57
1777973873.7477,7,0.5332,0.0309,0.1870,0.78
1777973873.8478,1,1.8938,0.0385,0.4351,2.49
1777973873.8478,2,2.3153,1.8495,0.7130,2.94
1777973873.8478,3,0.2248,1.3404,0.0158,-2.15
1777973873.8478,4,2.3624,0.9381,0.5541,1.57
1777973873.8478,7,0.5332,0.0309,0.1870,0.78
1777973873.9539,1,1.8938,0.0385,0.4351,2.49
1777973873.9539,2,2.3153,1.8495,0.7130,2.94
1777973873.9539,3,0.2248,1.3404,0.0158,-2.15
1777973873.9539,4,2.3624,0.9381,0.5541,1.57
1777973873.9539,7,0.5505,0.0261,0.2000,0.37
1777973874.0480,1,1.8952,0.0391,0.4328,2.23
1777973874.0480,2,2.3153,1.8495,0.7130,2.94
1777973874.0480,3,0.2243,1.3411,0.0152,-1.48
1777973874.0480,4,2.3624,0.9381,0.5541,1.57
1777973874.0480,7,0.5505,0.0261,0.2000,0.37
1777973874.1482,1,1.8938,0.0385,0.4351,2.49
1777973874.1482,2,2.3153,1.8495,0.7130,2.94
1777973874.1482,3,0.2248,1.3404,0.0158,-2.15
1777973874.1482,4,2.3624,0.9381,0.5541,1.57
1777973874.1482,7,0.5505,0.0261,0.2000,0.37
1777973874.2479,1,1.8938,0.0385,0.4351,2.49
1777973874.2479,2,2.3153,1.8495,0.7130,2.94
1777973874.2479,3,0.2243,1.3411,0.0152,-1.48
1777973874.2479,4,2.3624,0.9381,0.5541,1.57
1777973874.2479,7,0.5505,0.0261,0.2000,0.37
1777973874.3484,1,1.8938,0.0385,0.4351,2.49
1777973874.3484,2,2.3153,1.8495,0.7130,2.94
1777973874.3484,3,0.2549,1.3523,0.0295,-3.43
1777973874.3484,4,2.3624,0.9381,0.5541,1.57
1777973874.3484,7,0.5505,0.0261,0.2000,0.37
1777973874.4478,1,1.8938,0.0385,0.4351,2.49
1777973874.4478,2,2.3153,1.8495,0.7130,2.94
1777973874.4478,3,0.2243,1.3411,0.0152,-1.48
1777973874.4478,4,2.3624,0.9381,0.5541,1.57
1777973874.4478,7,0.5332,0.0309,0.1870,0.78
1777973874.5477,1,1.8938,0.0385,0.4351,2.49
1777973874.5477,2,2.3153,1.8495,0.7130,2.94
1777973874.5477,3,0.2248,1.3404,0.0158,-2.15
1777973874.5477,4,2.3624,0.9381,0.5541,1.57
1777973874.5477,7,0.5332,0.0309,0.1870,0.78
1777973874.6477,1,1.8938,0.0385,0.4351,2.49
1777973874.6477,2,2.3271,1.8854,0.7037,2.15
1777973874.6477,3,0.2248,1.3404,0.0158,-2.15
1777973874.6477,4,2.3624,0.9381,0.5541,1.57
1777973874.6477,7,0.5332,0.0309,0.1870,0.78
1777973874.7478,1,1.8938,0.0385,0.4351,2.49
1777973874.7478,2,2.3153,1.8495,0.7130,2.94
1777973874.7478,3,0.2248,1.3404,0.0158,-2.15
1777973874.7478,4,2.3624,0.9381,0.5541,1.57
1777973874.7478,7,0.5505,0.0261,0.2000,0.37
1777973874.8477,1,1.8938,0.0385,0.4351,2.49
1777973874.8477,2,2.3153,1.8495,0.7130,2.94
1777973874.8477,3,0.2243,1.3411,0.0152,-1.48
1777973874.8477,4,2.3624,0.9381,0.5541,1.57
1777973874.8477,7,0.5332,0.0309,0.1870,0.78
1777973874.9477,1,1.8938,0.0385,0.4351,2.49
1777973874.9477,2,2.3153,1.8495,0.7130,2.94
1777973874.9477,3,0.2243,1.3411,0.0152,-1.48
1777973874.9477,4,2.3624,0.9381,0.5541,1.57
1777973874.9477,7,0.5505,0.0261,0.2000,0.37
1777973875.0482,1,1.8938,0.0385,0.4351,2.49
1777973875.0482,2,2.3153,1.8495,0.7130,2.94
1777973875.0482,3,0.2248,1.3404,0.0158,-2.15
1777973875.0482,4,2.3624,0.9381,0.5541,1.57
1777973875.0482,7,0.5332,0.0309,0.1870,0.78
1777973875.1477,1,1.8952,0.0391,0.4328,2.23
1777973875.1477,2,2.3153,1.8495,0.7130,2.94
1777973875.1477,3,0.2248,1.3404,0.0158,-2.15
1777973875.1477,4,2.3624,0.9381,0.5541,1.57
1777973875.1477,7,0.5332,0.0309,0.1870,0.78
1777973875.2483,1,1.8952,0.0391,0.4328,2.23
1777973875.2483,2,2.3153,1.8495,0.7130,2.94
1777973875.2483,3,0.2243,1.3411,0.0152,-1.48
1777973875.2483,4,2.3624,0.9381,0.5541,1.57
1777973875.2483,7,0.5505,0.0261,0.2000,0.37
1777973875.3478,1,1.8938,0.0385,0.4351,2.49
1777973875.3478,2,2.3153,1.8495,0.7130,2.94
1777973875.3478,3,0.2248,1.3404,0.0158,-2.15
1777973875.3478,4,2.3624,0.9381,0.5541,1.57
1777973875.3478,7,0.5332,0.0309,0.1870,0.78
1777973875.4477,1,1.8938,0.0385,0.4351,2.49
1777973875.4477,2,2.3153,1.8495,0.7130,2.94
1777973875.4477,3,0.2248,1.3404,0.0158,-2.15
1777973875.4477,4,2.3624,0.9381,0.5541,1.57
1777973875.4477,7,0.5332,0.0309,0.1870,0.78
1777973875.5478,1,1.8938,0.0385,0.4351,2.49
1777973875.5478,2,2.3153,1.8495,0.7130,2.94
1777973875.5478,3,0.2285,1.3330,0.0027,-2.08
1777973875.5478,4,2.3624,0.9381,0.5541,1.57
1777973875.5478,7,0.5388,0.0300,0.1874,172.11
1777973875.6477,1,1.8952,0.0391,0.4328,2.23
1777973875.6477,2,2.3153,1.8495,0.7130,2.94
1777973875.6477,3,0.2248,1.3404,0.0158,-2.15
1777973875.6477,4,2.3624,0.9381,0.5541,1.57
1777973875.6477,7,0.5332,0.0309,0.1870,0.78
1777973875.7478,1,1.8952,0.0391,0.4328,2.23
1777973875.7478,2,2.3153,1.8495,0.7130,2.94
1777973875.7478,3,0.2243,1.3411,0.0152,-1.48
1777973875.7478,4,2.3624,0.9381,0.5541,1.57
1777973875.7478,7,0.5332,0.0309,0.1870,0.78
1777973875.8479,1,1.8938,0.0385,0.4351,2.49
1777973875.8479,2,2.3153,1.8495,0.7130,2.94
1777973875.8479,3,0.2248,1.3404,0.0158,-2.15
1777973875.8479,4,2.3624,0.9381,0.5541,1.57
1777973875.8479,7,0.5332,0.0309,0.1870,0.78
1777973875.9478,1,1.8938,0.0385,0.4351,2.49
1777973875.9478,2,2.3153,1.8495,0.7130,2.94
1777973875.9478,3,0.2248,1.3404,0.0158,-2.15
1777973875.9478,4,2.3624,0.9381,0.5541,1.57
1777973875.9478,7,0.5388,0.0300,0.1874,172.11
1777973876.0477,1,1.8938,0.0385,0.4351,2.49
1777973876.0477,2,2.3153,1.8495,0.7130,2.94
1777973876.0477,3,0.2248,1.3404,0.0158,-2.15
1777973876.0477,4,2.3624,0.9381,0.5541,1.57
1777973876.0477,7,0.5332,0.0309,0.1870,0.78
1777973876.1477,1,1.8938,0.0385,0.4351,2.49
1777973876.1477,2,2.3153,1.8495,0.7130,2.94
1777973876.1477,3,0.2243,1.3411,0.0152,-1.48
1777973876.1477,4,2.3624,0.9381,0.5541,1.57
1777973876.1477,7,0.5332,0.0309,0.1870,0.78
1777973876.2477,1,1.8938,0.0385,0.4351,2.49
1777973876.2477,2,2.3153,1.8495,0.7130,2.94
1777973876.2477,3,0.2248,1.3404,0.0158,-2.15
1777973876.2477,4,2.3624,0.9381,0.5541,1.57
1777973876.2477,7,0.5332,0.0309,0.1870,0.78
1777973876.3478,1,1.8938,0.0385,0.4351,2.49
1777973876.3478,2,2.3153,1.8495,0.7130,2.94
1777973876.3478,3,0.2248,1.3404,0.0158,-2.15
1777973876.3478,4,2.3624,0.9381,0.5541,1.57
1777973876.3478,7,0.5332,0.0309,0.1870,0.78
1777973876.4477,1,1.8952,0.0391,0.4328,2.23
1777973876.4477,2,2.3153,1.8495,0.7130,2.94
1777973876.4477,3,0.2248,1.3404,0.0158,-2.15
1777973876.4477,4,2.3624,0.9381,0.5541,1.57
1777973876.4477,7,0.5505,0.0261,0.2000,0.37
1777973876.5477,1,1.8952,0.0391,0.4328,2.23
1777973876.5477,2,2.3153,1.8495,0.7130,2.94
1777973876.5477,3,0.2248,1.3404,0.0158,-2.15
1777973876.5477,4,2.3624,0.9381,0.5541,1.57
1777973876.5477,7,0.5505,0.0261,0.2000,0.37
1777973876.6478,1,1.8938,0.0385,0.4351,2.49
1777973876.6478,2,2.3153,1.8495,0.7130,2.94
1777973876.6478,3,0.2248,1.3404,0.0158,-2.15
1777973876.6478,4,2.3624,0.9381,0.5541,1.57
1777973876.6478,7,0.5505,0.0261,0.2000,0.37
1777973876.7478,1,1.8938,0.0385,0.4351,2.49
1777973876.7478,2,2.3153,1.8495,0.7130,2.94
1777973876.7478,3,0.2248,1.3404,0.0158,-2.15
1777973876.7478,4,2.3624,0.9381,0.5541,1.57
1777973876.7478,7,0.5505,0.0261,0.2000,0.37
1777973876.8477,1,1.8938,0.0385,0.4351,2.49
1777973876.8477,2,2.3153,1.8495,0.7130,2.94
1777973876.8477,3,0.2248,1.3404,0.0158,-2.15
1777973876.8477,4,2.3624,0.9381,0.5541,1.57
1777973876.8477,7,0.5332,0.0309,0.1870,0.78
1777973876.9478,1,1.8938,0.0385,0.4351,2.49
1777973876.9478,2,2.3153,1.8495,0.7130,2.94
1777973876.9478,3,0.2243,1.3411,0.0152,-1.48
1777973876.9478,4,2.3624,0.9381,0.5541,1.57
1777973876.9478,7,0.5332,0.0309,0.1870,0.78
1777973877.0476,1,1.8938,0.0385,0.4351,2.49
1777973877.0476,2,2.3153,1.8495,0.7130,2.94
1777973877.0476,3,0.2248,1.3404,0.0158,-2.15
1777973877.0476,4,2.3624,0.9381,0.5541,1.57
1777973877.0476,7,0.5332,0.0309,0.1870,0.78
1777973877.1479,1,1.8938,0.0385,0.4351,2.49
1777973877.1479,2,2.3153,1.8495,0.7130,2.94
1777973877.1479,3,0.2248,1.3404,0.0158,-2.15
1777973877.1479,4,2.3624,0.9381,0.5541,1.57
1777973877.1479,7,0.5332,0.0309,0.1870,0.78
1777973877.2487,1,1.8938,0.0385,0.4351,2.49
1777973877.2487,2,2.3271,1.8854,0.7037,2.15
1777973877.2487,3,0.2248,1.3404,0.0158,-2.15
1777973877.2487,4,2.3624,0.9381,0.5541,1.57
1777973877.2487,7,0.5332,0.0309,0.1870,0.78
1777973877.3478,1,1.8938,0.0385,0.4351,2.49
1777973877.3478,2,2.3271,1.8854,0.7037,2.15
1777973877.3478,3,0.2243,1.3411,0.0152,-1.48
1777973877.3478,4,2.3624,0.9381,0.5541,1.57
1777973877.3478,7,0.5505,0.0261,0.2000,0.37
1777973877.4478,1,1.8938,0.0385,0.4351,2.49
1777973877.4478,2,2.3153,1.8495,0.7130,2.94
1777973877.4478,3,0.2248,1.3404,0.0158,-2.15
1777973877.4478,4,2.3624,0.9381,0.5541,1.57
1777973877.4478,7,0.5505,0.0261,0.2000,0.37
1777973877.5480,1,1.8938,0.0385,0.4351,2.49
1777973877.5480,2,2.3153,1.8495,0.7130,2.94
1777973877.5480,3,0.2248,1.3404,0.0158,-2.15
1777973877.5480,4,2.3624,0.9381,0.5541,1.57
1777973877.5480,7,0.5505,0.0261,0.2000,0.37
1777973877.6477,1,1.8938,0.0385,0.4351,2.49
1777973877.6477,2,2.3153,1.8495,0.7130,2.94
1777973877.6477,3,0.2248,1.3404,0.0158,-2.15
1777973877.6477,4,2.3624,0.9381,0.5541,1.57
1777973877.6477,7,0.5332,0.0309,0.1870,0.78
1777973877.7477,1,1.8938,0.0385,0.4351,2.49
1777973877.7477,2,2.3153,1.8495,0.7130,2.94
1777973877.7477,3,0.2248,1.3404,0.0158,-2.15
1777973877.7477,4,2.3624,0.9381,0.5541,1.57
1777973877.7477,7,0.5332,0.0309,0.1870,0.78
1777973877.8477,1,1.8938,0.0385,0.4351,2.49
1777973877.8477,2,2.3153,1.8495,0.7130,2.94
1777973877.8477,3,0.2285,1.3330,0.0027,-2.08
1777973877.8477,4,2.3624,0.9381,0.5541,1.57
1777973877.8477,7,0.5332,0.0309,0.1870,0.78
1777973877.9478,1,1.8938,0.0385,0.4351,2.49
1777973877.9478,2,2.3153,1.8495,0.7130,2.94
1777973877.9478,3,0.2248,1.3404,0.0158,-2.15
1777973877.9478,4,2.3624,0.9381,0.5541,1.57
1777973877.9478,7,0.5332,0.0309,0.1870,0.78
1777973878.0479,1,1.8938,0.0385,0.4351,2.49
1777973878.0479,2,2.3153,1.8495,0.7130,2.94
1777973878.0479,3,0.2243,1.3411,0.0152,-1.48
1777973878.0479,4,2.3624,0.9381,0.5541,1.57
1777973878.0479,7,0.5332,0.0309,0.1870,0.78
1777973878.1477,1,1.8938,0.0385,0.4351,2.49
1777973878.1477,2,2.3271,1.8854,0.7037,2.15
1777973878.1477,3,0.2243,1.3411,0.0152,-1.48
1777973878.1477,4,2.3624,0.9381,0.5541,1.57
1777973878.1477,7,0.5332,0.0309,0.1870,0.78
1777973878.2507,1,1.8938,0.0385,0.4351,2.49
1777973878.2507,2,2.3153,1.8495,0.7130,2.94
1777973878.2507,3,0.2248,1.3404,0.0158,-2.15
1777973878.2507,4,2.3624,0.9381,0.5541,1.57
1777973878.2507,7,0.5505,0.0261,0.2000,0.37
1777973878.3477,1,1.8938,0.0385,0.4351,2.49
1777973878.3477,2,2.3153,1.8495,0.7130,2.94
1777973878.3477,3,0.2243,1.3411,0.0152,-1.48
1777973878.3477,4,2.3624,0.9381,0.5541,1.57
1777973878.3477,7,0.5332,0.0309,0.1870,0.78
1777973878.4478,1,1.8938,0.0385,0.4351,2.49
1777973878.4478,2,2.3153,1.8495,0.7130,2.94
1777973878.4478,3,0.2248,1.3404,0.0158,-2.15
1777973878.4478,4,2.3624,0.9381,0.5541,1.57
1777973878.4478,7,0.5332,0.0309,0.1870,0.78
1777973878.5477,1,1.8938,0.0385,0.4351,2.49
1777973878.5477,2,2.3224,1.8654,0.7096,0.83
1777973878.5477,3,0.2243,1.3411,0.0152,-1.48
1777973878.5477,4,2.3624,0.9381,0.5541,1.57
1777973878.5477,7,0.5332,0.0309,0.1870,0.78
1777973878.6477,1,1.8938,0.0385,0.4351,2.49
1777973878.6477,2,2.3640,1.9079,0.7038,1.77
1777973878.6477,3,0.2097,1.3376,0.0077,-1.62
1777973878.6477,4,2.3624,0.9381,0.5541,1.57
1777973878.6477,7,0.5516,0.0281,0.2051,0.66
1777973878.7477,1,1.8952,0.0391,0.4328,2.23
1777973878.7477,2,2.4031,1.9165,0.7100,0.01
1777973878.7477,3,0.1927,1.3356,-0.0099,-1.11
1777973878.7477,4,2.3624,0.9381,0.5541,1.57
1777973878.7477,7,0.5289,0.0269,0.2054,-1.38
1777973878.8477,1,1.8952,0.0391,0.4328,2.23
1777973878.8477,2,2.4222,1.9470,0.7055,1.23
1777973878.8477,3,0.1507,1.3304,-0.0296,-1.34
1777973878.8477,4,2.3624,0.9381,0.5541,1.57
1777973878.8477,7,0.4885,0.0288,0.1883,-0.31
1777973878.9478,1,1.8952,0.0391,0.4328,2.23
1777973878.9478,2,2.4360,1.9360,0.7109,2.44
1777973878.9478,3,0.1327,1.3283,-0.0415,-2.04
1777973878.9478,4,2.3624,0.9381,0.5541,1.57
1777973878.9478,7,0.4885,0.0288,0.1883,-0.31
1777973879.0478,1,1.8952,0.0391,0.4328,2.23
1777973879.0478,2,2.4461,1.9327,0.7148,1.63
1777973879.0478,3,0.1058,1.3256,-0.0331,-1.41
1777973879.0478,4,2.3624,0.9381,0.5541,1.57
1777973879.0478,7,0.4318,0.0297,0.1581,0.48
1777973879.1477,1,1.8952,0.0391,0.4328,2.23
1777973879.1477,2,2.4424,1.8875,0.7311,0.93
1777973879.1477,3,0.0862,1.3218,-0.0630,-2.20
1777973879.1477,4,2.3624,0.9381,0.5541,1.57
1777973879.1477,7,0.4318,0.0297,0.1581,0.48
1777973879.2476,1,1.8117,-0.0460,0.3752,1.03
1777973879.2476,2,2.4484,1.8427,0.7510,-1.45
1777973879.2476,3,0.0735,1.3244,-0.0274,-0.36
1777973879.2476,4,2.3090,0.8292,0.5423,-1.36
1777973879.2476,7,0.4483,0.0293,0.1882,0.89
1777973879.3477,1,1.8327,-0.0266,0.3908,1.31
1777973879.3477,2,2.4484,1.8427,0.7510,-1.45
1777973879.3477,3,0.0219,1.3147,-0.1060,-2.00
1777973879.3477,4,2.3228,0.8545,0.5473,-0.66
1777973879.3477,7,0.4483,0.0293,0.1882,0.89
1777973879.4477,1,1.8327,-0.0266,0.3908,1.31
1777973879.4477,2,2.4484,1.8427,0.7510,-1.45
1777973879.4477,3,-0.0124,1.3098,-0.1228,-2.63
1777973879.4477,4,2.3228,0.8545,0.5473,-0.66
1777973879.4477,7,0.4483,0.0293,0.1882,0.89
1777973879.5477,1,1.8952,0.0391,0.4328,2.23
1777973879.5477,2,2.4516,1.9164,0.7219,2.08
1777973879.5477,3,-0.0225,1.3123,-0.1296,-2.05
1777973879.5477,4,2.3624,0.9381,0.5541,1.57
1777973879.5477,7,0.3255,0.0109,0.0999,-1.77
1777973879.6477,1,1.8977,0.0401,0.4206,1.91
1777973879.6477,2,2.4406,1.9202,0.7189,0.28
1777973879.6477,3,-0.0281,1.3294,-0.1155,-1.44
1777973879.6477,4,2.3624,0.9381,0.5541,1.57
1777973879.6477,7,0.3255,0.0109,0.0999,-1.77
1777973879.7478,1,1.9078,0.0397,0.4131,2.51
1777973879.7478,2,2.4406,1.9202,0.7189,0.28
1777973879.7478,3,-0.0308,1.3409,-0.1247,-1.90
1777973879.7478,4,2.3674,0.9523,0.5476,1.10
1777973879.7478,7,0.4784,0.0289,0.1888,-1.31
1777973879.8478,1,1.9441,0.0390,0.4126,2.36
1777973879.8478,2,2.4284,1.9380,0.7229,1.85
1777973879.8478,3,0.2447,1.4558,0.1358,-3.95
1777973879.8478,4,2.3756,0.9950,0.5385,0.78
1777973879.8478,7,0.5016,0.0289,0.2069,-0.32
1777973879.9477,1,1.9586,0.0397,0.4242,1.75
1777973879.9477,2,2.4198,1.9339,0.7268,1.95
1777973879.9477,3,0.2451,1.4652,0.1435,-3.31
1777973879.9477,4,2.3560,0.9849,0.5610,0.32
1777973879.9477,7,0.4696,0.0281,0.1699,1.28
1777973880.0477,1,1.9618,0.0381,0.4217,1.02
1777973880.0477,2,2.4067,1.9111,0.7277,-26.36
1777973880.0477,3,0.2451,1.4652,0.1435,-3.31
1777973880.0477,4,2.3613,1.0024,0.5558,2.05
1777973880.0477,7,0.4696,0.0281,0.1699,1.28
1777973880.1527,1,1.9581,0.0402,0.4203,0.80
1777973880.1527,2,2.4061,1.9382,0.7198,0.05
1777973880.1527,3,0.2451,1.4652,0.1435,-3.31
1777973880.1527,4,2.3613,1.0024,0.5558,2.05
1777973880.1527,7,0.4696,0.0281,0.1699,1.28
1777973880.2493,1,1.9507,0.0438,0.4245,1.97
1777973880.2493,2,2.3910,1.9151,0.7229,2.21
1777973880.2493,3,0.2451,1.4652,0.1435,-3.31
1777973880.2493,4,2.3707,1.0166,0.5469,1.61
1777973880.2493,7,0.4696,0.0281,0.1699,1.28
1777973880.3477,1,1.9482,0.0437,0.4226,1.16
1777973880.3477,2,2.3910,1.9151,0.7229,2.21
1777973880.3477,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.3477,4,2.3692,1.0137,0.5470,1.52
1777973880.3477,7,0.5645,0.0248,0.1841,1.67
1777973880.4479,1,1.9405,0.0419,0.4239,2.46
1777973880.4479,2,2.3910,1.9151,0.7229,2.21
1777973880.4479,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.4479,4,2.3607,0.9915,0.5632,0.25
1777973880.4479,7,0.5645,0.0248,0.1841,1.67
1777973880.5481,1,1.9376,0.0384,0.4195,0.90
1777973880.5481,2,2.3910,1.9151,0.7229,2.21
1777973880.5481,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.5481,4,2.3698,0.9967,0.5557,1.20
1777973880.5481,7,0.5645,0.0248,0.1841,1.67
1777973880.6478,1,1.9402,0.0273,0.4165,1.02
1777973880.6478,2,2.3861,1.9075,0.7239,2.25
1777973880.6478,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.6478,4,2.3744,0.9882,0.5475,1.81
1777973880.6478,7,0.5645,0.0248,0.1841,1.67
1777973880.7477,1,1.9386,0.0193,0.4272,1.24
1777973880.7477,2,2.3779,1.8762,0.7300,-27.64
1777973880.7477,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.7477,4,2.3692,0.9701,0.5497,-0.01
1777973880.7477,7,0.5525,0.0249,0.1830,0.69
1777973880.8476,1,1.9355,0.0139,0.4282,1.49
1777973880.8476,2,2.3797,1.8954,0.7274,2.48
1777973880.8476,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.8476,4,2.3789,0.9746,0.5404,0.90
1777973880.8476,7,0.5525,0.0249,0.1830,0.69
1777973880.9477,1,1.9341,0.0152,0.4247,0.88
1777973880.9477,2,2.3732,1.8714,0.7326,2.98
1777973880.9477,3,-0.0206,1.3917,-0.1196,-0.46
1777973880.9477,4,2.3749,0.9622,0.5480,-1.06
1777973880.9477,7,0.5525,0.0249,0.1830,0.69
1777973881.0476,1,1.9320,0.0160,0.4259,1.23
