timestamp,agent_id,x,y,z,yaw_deg
1777974187.9501,1,0.8385,0.7410,0.4367,-9.91
1777974187.9501,2,0.8273,0.6309,0.2452,2.66
1777974187.9501,3,1.8324,0.6252,0.4397,-2.33
1777974187.9501,4,2.3933,0.6410,0.4772,0.52
1777974187.9501,7,3.0148,0.6622,0.4113,1.88
1777974188.0503,1,0.8222,0.7500,0.4238,-7.10
1777974188.0503,2,0.9941,0.6433,0.3420,-4.68
1777974188.0503,3,1.8324,0.6252,0.4397,-2.33
1777974188.0503,4,2.3933,0.6410,0.4772,0.52
1777974188.0503,7,3.0148,0.6622,0.4113,1.88
1777974188.1496,1,0.8222,0.7500,0.4238,-7.10
1777974188.1496,2,0.9912,0.6475,0.3434,-4.12
1777974188.1496,3,1.8255,0.6280,0.4419,-2.27
1777974188.1496,4,2.3933,0.6410,0.4772,0.52
1777974188.1496,7,3.0148,0.6622,0.4113,1.88
1777974188.2519,1,0.8385,0.7410,0.4367,-9.91
1777974188.2519,2,0.9919,0.6466,0.3435,-4.04
1777974188.2519,3,1.8312,0.6249,0.4390,-2.41
1777974188.2519,4,2.3933,0.6410,0.4772,0.52
1777974188.2519,7,3.0169,0.6631,0.4108,1.47
1777974188.3497,1,0.8385,0.7410,0.4367,-9.91
1777974188.3497,2,0.9941,0.6433,0.3420,-4.68
1777974188.3497,3,1.7964,0.6415,0.4481,-0.90
1777974188.3497,4,2.3933,0.6410,0.4772,0.52
1777974188.3497,7,3.0148,0.6622,0.4113,1.88
1777974188.4510,1,0.8385,0.7410,0.4367,-9.91
1777974188.4510,2,0.9946,0.6433,0.3465,-4.89
1777974188.4510,3,1.8324,0.6252,0.4397,-2.33
1777974188.4510,4,2.3933,0.6410,0.4772,0.52
1777974188.4510,7,3.0148,0.6622,0.4113,1.88
1777974188.5495,1,0.8222,0.7500,0.4238,-7.10
1777974188.5495,2,0.9919,0.6466,0.3435,-4.04
1777974188.5495,3,1.8324,0.6252,0.4397,-2.33
1777974188.5495,4,2.3933,0.6410,0.4772,0.52
1777974188.5495,7,3.0169,0.6631,0.4108,1.47
1777974188.6494,1,0.8385,0.7410,0.4367,-9.91
1777974188.6494,2,0.9968,0.6401,0.3451,-5.54
1777974188.6494,3,1.8324,0.6252,0.4397,-2.33
1777974188.6494,4,2.3933,0.6410,0.4772,0.52
1777974188.6494,7,3.0148,0.6622,0.4113,1.88
1777974188.7495,1,0.8385,0.7410,0.4367,-9.91
1777974188.7495,2,0.9946,0.6433,0.3465,-4.89
1777974188.7495,3,1.8324,0.6252,0.4397,-2.33
1777974188.7495,4,2.3933,0.6410,0.4772,0.52
1777974188.7495,7,3.0148,0.6622,0.4113,1.88
1777974188.8498,1,0.8222,0.7500,0.4238,-7.10
1777974188.8498,2,0.9946,0.6433,0.3465,-4.89
1777974188.8498,3,1.7977,0.6418,0.4488,-0.82
1777974188.8498,4,2.3933,0.6410,0.4772,0.52
1777974188.8498,7,3.0169,0.6631,0.4108,1.47
1777974188.9507,1,0.8222,0.7500,0.4238,-7.10
1777974188.9507,2,0.9968,0.6401,0.3451,-5.54
1777974188.9507,3,1.7977,0.6418,0.4488,-0.82
1777974188.9507,4,2.3933,0.6410,0.4772,0.52
1777974188.9507,7,3.0169,0.6631,0.4108,1.47
1777974189.0495,1,0.8222,0.7500,0.4238,-7.10
1777974189.0495,2,0.9968,0.6401,0.3451,-5.54
1777974189.0495,3,1.8324,0.6252,0.4397,-2.33
1777974189.0495,4,2.3933,0.6410,0.4772,0.52
1777974189.0495,7,3.0148,0.6622,0.4113,1.88
1777974189.1511,1,0.8408,0.7343,0.4398,-6.64
1777974189.1511,2,0.9919,0.6466,0.3435,-4.04
1777974189.1511,3,1.8312,0.6249,0.4390,-2.41
1777974189.1511,4,2.3933,0.6410,0.4772,0.52
1777974189.1511,7,3.0148,0.6622,0.4113,1.88
1777974189.2495,1,0.8408,0.7343,0.4398,-6.64
1777974189.2495,2,0.9939,0.6443,0.3464,-4.97
1777974189.2495,3,1.8324,0.6252,0.4397,-2.33
1777974189.2495,4,2.3933,0.6410,0.4772,0.52
1777974189.2495,7,3.0148,0.6622,0.4113,1.88
1777974189.3495,1,0.8488,0.7301,0.4467,-8.26
1777974189.3495,2,0.9919,0.6466,0.3435,-4.04
1777974189.3495,3,1.8324,0.6252,0.4397,-2.33
1777974189.3495,4,2.3933,0.6410,0.4772,0.52
1777974189.3495,7,3.0148,0.6622,0.4113,1.88
1777974189.4494,1,0.8222,0.7500,0.4238,-7.10
1777974189.4494,2,0.9941,0.6433,0.3420,-4.68
1777974189.4494,3,1.8324,0.6252,0.4397,-2.33
1777974189.4494,4,2.3933,0.6410,0.4772,0.52
1777974189.4494,7,3.0148,0.6622,0.4113,1.88
1777974189.5495,1,0.8222,0.7500,0.4238,-7.10
1777974189.5495,2,0.9919,0.6466,0.3435,-4.04
1777974189.5495,3,1.8324,0.6252,0.4397,-2.33
1777974189.5495,4,2.3933,0.6410,0.4772,0.52
